city,lat,lon,date,controller,expected,source,note
Знаменское,43.677,45.129,1992-03-31,opposition_moscow,empire,"Хроника первой российской войны в Чечне (Дош) 2026; Мемориал 2010 txt 722-728","центр Надтеречного района; руководство района не подчиняется Грозному с ноября 1991 (Дош: 31.03.1992 «единственное территориальное образование Чечни, руководители которого все еще отказываются подчиняться»); ПОЛИГОН: OSM relation 1749734 Надтеречный район целиком"
Знаменское,43.677,45.129,1993-12-16,opposition_moscow,empire,"Мемориал 2010 txt 722-728; Дош 2026","16.12.1993 здесь создан Временный совет ЧР Автурханова; с лета 1994 отряды формирует и вооружает ФСК; 08.08.1994 «правительство» совета"
Знаменское,43.677,45.129,1994-12-11,russia_army,empire,"Мемориал 2010 (хроника 11-12.12.1994)","11.12.1994 колонны российской армии входят через Надтеречный район из Моздока - дальше слой войны (домен даст отдельно)"
Горагорский,43.496,45.085,1994-07-01,opposition_moscow,empire,"Мемориал 2010 txt 831-835","в Надтеречном районе; в перечне пунктов под оппозицией летом 1994"
Ищёрская,43.714,45.129,1994-07-01,opposition_moscow,empire,"Мемориал 2010 txt 831-835; Дош 2026 (06.08.1994 пост оппозиции на Ищерском мосту)","станица Наурского района на левом берегу Терека; точка, не весь Наурский район"
Урус-Мартан,43.133,45.538,1994-07-15,opposition_moscow,empire,"Дош 2026 («в июле-августе оппозиционные силы под командованием Гантамирова устанавливают контроль над городом Урус-Мартан»); Мемориал 2010 txt 766-771, 831-835","второй центр оппозиции (Гантамиров); 02.09.1994 силы Грозного атаковали окраину, город не взяли; ПОЛИГОН: OSM relation 1749739 Урус-Мартановский район - только частично (город + Гехи), район целиком не красить"
Гехи,43.166,45.472,1994-07-15,opposition_moscow,empire,"Мемориал 2010 txt 962-963","база Гантамирова; 16.10.1994 отряды оппозиции отступили «в села Знаменское и Гехи»"
Толстой-Юрт,43.442,45.775,1994-08-20,opposition_moscow,empire,"Дош 2026 (командно-штабная машина для «миротворческой группы» Хасбулатова, август; 21.08.1994 радиостанция сторонников Хасбулатова)","Грозненский район; группа Хасбулатова с БТР; 17.09.1994 после артподготовки взят силами Грозного (бронетехника, вертолёты); 28.09.1994 силы Грозного отошли от села"
Аргун,43.295,45.869,1994-06-20,opposition_moscow,contested,"Дош 2026 (после 13.06.1994 «остатки банды Лабазанова обосновываются в городе Аргун»); Мемориал 2010 txt 863-864","отряд Лабазанова, союзника Автурханова (Dunlop 1998 OCR 8690); дата прихода в Аргун приблизительная (вторая половина июня)"
Аргун,43.295,45.869,1994-09-05,ichkeria,not_empire,"Мемориал 2010 txt 863-864; Дош 2026 («ночью 5 сентября правительственные войска повторно штурмуют»)","05.09.1994 отряд Лабазанова разгромлен, город под Грозным"
Долинский,43.405,45.384,1994-09-02,battle,not_empire,"Коммерсантъ № 166 от 03.09.1994 (kommersant.ru/doc/88725); Программа «Новости» 02.09.1994 (YouTube 7u4DDko99LY)","первая атака с российскими экипажами - граница кампаний домена; в Долинском контроль не менялся"
Кень-Юрт,43.544,45.514,1993-10-15,supply_point,not_empire,"Дош 2026 (с октября-ноября 1993 «оружие и боеприпасы поставляются воздухом, на вертолетах»… «вертолеты регулярно приземляются на территории села Кень-Юрт»)","площадка приёма оружия для оппозиции, не контроль территории"
Моздок,43.736,44.654,1994-08-01,russia_army,empire,"Дош 2026 («только в августе из Моздока в Знаменское отправлено 10 танков Т-62»)","Северная Осетия, Россия - база снабжения оппозиции и потом войны; уже красное"
Грозный,43.318,45.698,1992-03-31,ichkeria,not_empire,"Дош 2026","опорная точка: столица под Грозным весь период до 11.12.1994 (штурмы 17-20.08, 15-16.10, 26.11.1994 отбиты)"
Толстой-Юрт,43.442,45.775,1994-09-17,ichkeria,not_empire,"Дош 2026 («17 сентября после артиллерийской подготовки правительственные силы окружают Толстой-Юрт… Официальный Грозный заявляет, что Толстой-Юрт взят»)","группа Хасбулатова выбита; 28.09.1994 силы Грозного отходят - дальше статус села неясен, не красить до 11.12.1994"
